nom,Date, epidemiological_surveillance
Aru,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Aungba,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Bambu,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Damas,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Bunia,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review. Establishment of an early warning system in the ISP Bunia displacement site. Briefing of RECO on SBC and contact tracing. Result: 159 RECO reached on D2."
Gety,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Kilo,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Komanda,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Lita,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Mangala,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Mongbwalu,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Nizi,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Nyankunde,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Rwampara,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Butembo,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Goma,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Oicha,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Kalunguta,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Katwa,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Kyondo,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Beni,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
Miti-Murhesa,30-05-2026,"Reorganization of the pillar and deployment of epidemiologists in sub-pillars and hotspot health zones. Routine activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective document review."
PoE - PoC,30-05-2026,"Development of a 12‑day intensive activity schedule (11 activities). Update as of 30/05: 13,960 travelers processed | 13,187 screened (94.4%) | 100% sensitized | 0 contacts listed."
Bilan J29/05,30-05-2026,"149 alerts reported | 84 investigated (56.3%) | 73 confirmed (86.6%) | 33 samples taken (45.02%)."
Aru,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Aungba,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Bambu,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Bunia,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Twelve (12) alerts faced community resistance, hindering their verification. Nine (9) PPL alerts under verification."
Damas,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Gety,31-05-2026,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
